naam;samenvatting;thema;onderwerp;eigenaar;data url;data url error;kaart url;laagnaam
Macroalgenproductie in de Noordzee : Laminaria digitata;De kaart geeft het resultaat weer van een eerste verkenning van de mogelijke maximale biomassaproductie.;Voedsel;Planten;Deltares;"=HYPERLINK(""http://deltaresdata.openearth.nl/geoserver/DANK/wfs?SERVICE=WFS&VERSION=1.1.0&REQUEST=GetFeature&TYPENAME=DANK:dank001a_macroalgen_in_de_noordzee&OUTPUTFORMAT=json&SRSNAME=EPSG:4326"")";;"=HYPERLINK(""http://deltaresdata.openearth.nl/geoserver/DANK/wms?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=DANK:dank001a_macroalgen_in_de_noordzee&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";DANK:dank001a_macroalgen_in_de_noordzee
Natuurlijke ziekte- en plaagwering van de bodem (relatief);De natuurlijke ziekten- en plaagwering van de bovenste 20 cm van de bodem, obv samengestelde indicatorenset;Voedsel;Ondersteunend;Rijksinstituut voor Volksgezondheid en Milieu (RIVM);"=HYPERLINK("""")";Deze databron is alleen als WMS beschikbaar, gebruik kaart url om gegevens op te halen;"=HYPERLINK(""http://geodata.rivm.nl/geoserver/wms?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=dank:rivm_r3_gm_diseasesupp&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";dank:rivm_r3_gm_diseasesupp
De natuurlijke waterregulatie in de bodem (relatief);De waterregulatiecapaciteit van de toplaag van de bodem, obv samengestelde indicatorenset;Voedsel;Ondersteunend;Rijksinstituut voor Volksgezondheid en Milieu (RIVM);"=HYPERLINK("""")";Deze databron is alleen als WMS beschikbaar, gebruik kaart url om gegevens op te halen;"=HYPERLINK(""http://geodata.rivm.nl/geoserver/wms?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=dank:rivm_r4_gm_waterreg&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";dank:rivm_r4_gm_waterreg
Kwaliteit bodemstructuur voor groei van gewassen (relatief);De kwaliteit van de bodemstructuur van de bovenste 20 cm, obv samengestelde indicatorenset;Voedsel;Ondersteunend;Rijksinstituut voor Volksgezondheid en Milieu (RIVM);"=HYPERLINK("""")";Deze databron is alleen als WMS beschikbaar, gebruik kaart url om gegevens op te halen;"=HYPERLINK(""http://geodata.rivm.nl/geoserver/wms?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=dank:rivm_r1_gm_soilstr&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";dank:rivm_r1_gm_soilstr
Mosselzaadinvang- installaties 2014;Hier vindt u de gebieden en de percelen, in eigendom van het Rijk, waarop mosselzaad invanginstallaties zijn toegestaan.;Voedsel;Ondersteunend;Ministerie van Economische Zaken - Directie Dierlijke Agroketens en Dierenwelzijn;"=HYPERLINK(""http://geodata.nationaalgeoregister.nl/mosselzaadinvanginstallaties/wfs?SERVICE=WFS&VERSION=1.1.0&REQUEST=GetFeature&TYPENAME=mosselzaadinvanginstallaties&OUTPUTFORMAT=json&SRSNAME=EPSG:4326"")";;"=HYPERLINK(""http://geodata.nationaalgeoregister.nl/mosselzaadinvanginstallaties/wms?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=mosselzaadinvanginstallaties&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";mosselzaadinvanginstallaties
Schelpdierpercelen 2014;De schelpdierenpercelen in Nederland;Voedsel;Ondersteunend;Ministerie van Economische Zaken - Directie Dierlijke Agroketens en Dierenwelzijn;"=HYPERLINK(""http://geodata.nationaalgeoregister.nl/schelpdierenpercelen/wfs?SERVICE=WFS&VERSION=1.1.0&REQUEST=GetFeature&TYPENAME=schelpdierenpercelen&OUTPUTFORMAT=json&SRSNAME=EPSG:4326"")";;"=HYPERLINK(""http://geodata.nationaalgeoregister.nl/schelpdierenpercelen/wms?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=schelpdierenpercelen&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";schelpdierenpercelen
Natuurlijke levering van nutrienten in de bodem (relatief);De nutrientenhuishouding in de bovenste 20 cm van de bodem, obv samengestelde indicatorenset.;Voedsel;Ondersteunend;Rijksinstituut voor Volksgezondheid en Milieu (RIVM);"=HYPERLINK("""")";Deze databron is alleen als WMS beschikbaar, gebruik kaart url om gegevens op te halen;"=HYPERLINK(""http://geodata.rivm.nl/geoserver/wms?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=dank:rivm_r2_gm_nutrcycl&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";dank:rivm_r2_gm_nutrcycl
Biomassa - dunne mest;Deze kaart laat de hoeveelheden dunne mest (dus exclusief weidemest) in Nederland zien die per 4-cijferig postcode gebied wordt geproduceerd.;Hout Vezels Genetische bronnen;Vezels;Alterra, Wageningen UR;"=HYPERLINK(""http://geodata.rivm.nl/geoserver/dank/wfs?SERVICE=WFS&VERSION=1.1.0&REQUEST=GetFeature&TYPENAME=dank:altr_a36_ri_bmdunnemest&OUTPUTFORMAT=json&SRSNAME=EPSG:4326"")";;"=HYPERLINK(""http://geodata.rivm.nl/geoserver/dank/wms?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=dank:altr_a36_ri_bmdunnemest&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";dank:altr_a36_ri_bmdunnemest
Biomassa - vaste mest;Deze kaart laat de hoeveelheden vaste stalmest (dus exclusief weidemest) in Nederland zien die per 4-cijferig postcode gebied geproduceerd wordt.;Hout Vezels Genetische bronnen;Vezels;Alterra, Wageningen UR;"=HYPERLINK(""http://geodata.rivm.nl/geoserver/dank/wfs?SERVICE=WFS&VERSION=1.1.0&REQUEST=GetFeature&TYPENAME=dank:altr_a35_ri_bmvastemest&OUTPUTFORMAT=json&SRSNAME=EPSG:4326"")";;"=HYPERLINK(""http://geodata.rivm.nl/geoserver/dank/wms?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=dank:altr_a35_ri_bmvastemest&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";dank:altr_a35_ri_bmvastemest
Biomassa landbouwgebied - stengel en bladresten;Op de kaart staat de totale potentiÃ«le hoeveelheid biomassa uit stengel- en bladresten (niet stro) uit de landbouw per gemeente.;Hout Vezels Genetische bronnen;Vezels;Alterra, Wageningen UR;"=HYPERLINK(""http://geodata.rivm.nl/geoserver/dank/wfs?SERVICE=WFS&VERSION=1.1.0&REQUEST=GetFeature&TYPENAME=dank:altr_a34_ri_bmlbstenblad&OUTPUTFORMAT=json&SRSNAME=EPSG:4326"")";;"=HYPERLINK(""http://geodata.rivm.nl/geoserver/dank/wms?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=dank:altr_a34_ri_bmlbstenblad&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";dank:altr_a34_ri_bmlbstenblad
